sampleID	CDNA	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_168020_703502	20141119_C63	0.8	4991	38	1966693	4.27082417032	33.4175715575	11.5451152012	pass	pass	pass	pass	1964216	94.49	368944	181234	0.161834	63.4301235944	1402506	81295	63871	383517	279915	50.3411418007	1113095	362791	0.0413880143528003	0.195251947850949	0.142507239529665	82.6121393134388	p4	single cell	TRUE
WTCHG_168020_703503	20141119_C90	0.98	5879	40	1984270	5.02920469493	34.6526285408	9.64852163697	pass	pass	pass	pass	1981516	94.24	361792	185607	0.139288	65.1764580288	1453042	83828	71981	380375	240171	53.7921240587	1199240	318328	0.042304982649648	0.191961609192154	0.121205682921561	73.0424341718573	p4	single cell	TRUE
WTCHG_168020_703504	20141208_C67	0.62	6002	47	2289326	6.74792493511	37.7404108129	11.938422197	pass	pass	pass	pass	2282186	89.09	367007	356926	0.231427	33.4983599957	848691	15916	176697	357275	1134951	16.6790209707	422568	574399	0.00697401526431237	0.156549466169716	0.49730872067395	79.6389463046328	p5	single cell	FALSE
WTCHG_168020_703505	20141208_C17	0.73	6511	48	2861168	5.02553502626	42.4925841775	11.3050954796	pass	pass	fail	fail	2856473	91.43	409514	371388	0.256946	32.3926512781	1008552	19135	166823	364998	1554013	15.8152779442	492412	777066	0.00669882053847525	0.127779257847002	0.544032098325452	82.6841837050476	p5	single cell	TRUE
WTCHG_168020_703506	20141211_C21	0.34	5244	46	2564437	5.36878074993	41.3410033353	12.3375052515	pass	pass	pass	pass	2558775	91.68	400241	325853	0.305317	45.2085954978	1288657	22810	143172	415076	980754	21.4683618731	611949	824311	0.00891442194018622	0.162216685718752	0.383290441715274	94.3493380527112	p6	single cell	TRUE
WTCHG_168020_703507	20141211_C57	0.51	3877	55	2705991	6.07625819894	35.2353843158	10.1626451461	pass	pass	pass	pass	2699435	91.73	371436	330389	0.358742	49.9108061738	1449584	17775	156985	282304	997701	20.0128841265	581244	962165	0.00658471124513093	0.10457892114461	0.369596230322271	90.484414429052	p6	single cell	TRUE
WTCHG_168020_703508	20141211_C96	0.38	4395	44	2088744	4.32594899136	31.8813036017	13.3037786496	pass	pass	pass	warn	2085851	91.88	323198	262704	0.292784	49.7767808377	1116425	18961	106249	229006	772222	24.7431965305	554956	620222	0.00909029456082913	0.109790200738212	0.370219157552481	93.80050113434	p6	single cell	TRUE
WTCHG_168020_703517	20141119_C25	0.99	6078	40	1692047	5.27426247616	33.5832170017	9.89966214696	pass	pass	pass	pass	1689492	93.24	308881	180484	0.10277	58.4674095493	1095132	61349	72521	283027	361035	50.0048049613	936622	206654	0.0363120985479659	0.167521953344556	0.213694412284876	71.319803457409	p4	single cell	TRUE
WTCHG_168020_704502	20141119_C79	0.45	4304	44	2552773	5.87678575416	36.8979347449	12.1111552914	pass	pass	pass	pass	2547643	91.36	391730	326720	0.282274	42.2288418665	1190665	21399	152163	386490	1068837	20.2835625776	571906	762323	0.00839952850536751	0.151704928830295	0.419539550871139	89.4403371205889	p4	single cell	TRUE
WTCHG_168020_704503	20141119_C83	0.6	4877	38	2429340	6.36407419299	40.1301182935	9.2687301909	pass	pass	pass	pass	2422813	91.87	368528	286418	0.186295	32.1181874652	843325	18327	144624	301279	1318138	17.86473133	469073	471970	0.00756434772308057	0.124350909459376	0.544052718885032	92.2220144440706	p4	single cell	TRUE
